category,datetime,image_1,image_2,name,page,tag,url
chairs,2021-01-05 18:14:32.982641,https://st.hzcdn.com/fimgs/3a2144320d0d2e19_8773-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/006140ec0d0d2e1a_6128-w65-h65-b0-p0--.jpg,"West Palm Living Room Accent Chair in Rustic Oak, Beige",1,"Beige accent chair,living room accent chair,Rustic Arm Accent Chair,taupe accent chair,Weathered Oak Accent Chair,wood accent chair",https://www.houzz.com/products/west-palm-living-room-accent-chair-in-rustic-oak-beige-prvw-vr~130121156
chairs,2021-01-05 18:14:33.227420,https://st.hzcdn.com/fimgs/038161420ae90040_2538-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/eed169200ae90044_2076-w65-h65-b1-p0--.jpg,"Heidi Velvet Dining Chairs, Set of 2, Pink",1,"accent chair,beige,Best,black,chair,contemporary,contemporary chair,cream,grey,meridian,meridian furniture,modern,nailhead chair,navy,pink,sky blue,transitional,tufted chair,velvet,velvet chair",https://www.houzz.com/products/heidi-velvet-dining-chairs-set-of-2-pink-prvw-vr~118265633
chairs,2021-01-05 18:14:33.261357,https://st.hzcdn.com/fimgs/1641351d0f99fc20_8349-w65-h65-b0-p0--.jpg,https://st.hzcdn.com/fimgs/13c106380f99fc23_8349-w65-h65-b0-p0--.jpg,"Omax Decor Jane Lounge Accent Chair, Gold",1,"arm chair,armchairs,blue,comfortable chair,commercial,curry,gold,living room chair,lobby,lounge chair,mustard,oak,office chair,plush,residential,upholstered chair,velvet,waiting,walnut,wood",https://www.houzz.com/products/omax-decor-jane-lounge-accent-chair-gold-prvw-vr~165942599
chairs,2021-01-05 18:14:33.651045,https://st.hzcdn.com/fimgs/f691c1a0079a2422_7713-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/fbf1ebce079a2427_7713-w65-h65-b1-p0--.jpg,"Montalto Pin-Tuck Lift Chair, Saville Brown",1,"brown,saville",https://www.houzz.com/products/montalto-pin-tuck-lift-chair-saville-brown-prvw-vr~61514313
chairs,2021-01-05 18:14:33.752991,https://st.hzcdn.com/fimgs/2f017e750f283d65_3642-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/5051853d0f283d69_3642-w65-h65-b1-p0--.jpg,"Rosco Velvet Accent Chair, Charcoal",1,"charcoal chair,FOAM CHAIR,home accent,home decor,plywood frame chair,rc850acc,solid wood chair,Steve Silver,velvet fabric chair",https://www.houzz.com/products/rosco-velvet-accent-chair-charcoal-prvw-vr~162667363
chairs,2021-01-05 18:14:33.873428,https://st.hzcdn.com/fimgs/46e12cae0db1c272_7309-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/af81daab0db1c274_7403-w65-h65-b1-p0--.jpg,"Nikki Velvet Dining Chairs, Set of 2, Navy",1,"beautiful,Best,comfortable,contemporary,dining chairs,modern,set of Dining Chairs,transitional,transitional dining chair set,transitional dining chairs,tufted,velvet,velvet dining chair set,velvet dining chairs,wood,wooden dining chair set,wooden dining chairs",https://www.houzz.com/products/nikki-velvet-dining-chairs-set-of-2-navy-prvw-vr~118265571
chairs,2021-01-05 18:14:34.244068,https://st.hzcdn.com/fimgs/11d1261f0a4bd92f_7126-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/ede1671e0a2856ed_7126-w65-h65-b0-p0--.jpg,"Lemele Velvet Dining Chairs, Set Of 2, Brown Sugar",1,"dining chairs,dining chairs with velvet upholstery,elegant dining chairs,upholstered dining chairs,velvet dining chairs",https://www.houzz.com/products/lemele-velvet-dining-chairs-set-of-2-brown-sugar-prvw-vr~88767737
chairs,2021-01-05 18:14:34.291802,https://st.hzcdn.com/fimgs/fe2159ae0ba2f528_3035-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/4bc12e8d0ba2f52d_6254-w65-h65-b1-p0--.jpg,"Omax Decor Zola Lounge Chair, Brown/Walnut",1,"accent chair,beige,blue,brown chair,comfortable chair,Danish,decor,fabric chair,gold,gray,green,grey,leather chair,living room chair,lounge chair,mid century chair,mint,mocha,modern,oak,orange,purple,Scandinavian,upholstered chair,velvet,velvet chair,walnut,wood chair,Z chair",https://www.houzz.com/products/omax-decor-zola-lounge-chair-brown-walnut-prvw-vr~128389483
chairs,2021-01-05 18:14:34.571576,https://st.hzcdn.com/fimgs/20d1aa350c92a142_5340-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/9b6182ad0c92a147_5340-w65-h65-b1-p0--.jpg,"Safavieh Clara Quilted Swivel Tub Chair, Emerald/Gold",1,"accent chairs,contemporary,modern",https://www.houzz.com/products/safavieh-clara-quilted-swivel-tub-chair-emerald-gold-prvw-vr~139923351
chairs,2021-01-05 18:14:34.625292,https://st.hzcdn.com/fimgs/42a113120f906eb9_1813-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/1fb1813e0f906eba_3649-w65-h65-b0-p0--.jpg,"GDF Studio Evelyn Mid Century Modern Fabric Arm Chair, Dark Gray/Walnut",1,,https://www.houzz.com/products/gdf-studio-evelyn-mid-century-modern-fabric-arm-chair-dark-gray-walnut-prvw-vr~123734618
chairs,2021-01-05 18:14:34.905649,https://st.hzcdn.com/fimgs/22017fff0ef2282c_6337-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/659199710ef2282f_7180-w65-h65-b1-p0--.jpg,"Aniline Leather Lounge Chair and Ottoman, Black, Base Palisander",1,"eames chair,eames inspired lounge chair,Eames Lounge Chair,eames lounge chair replica,eames lounge chair reproduction,Eames Replica,Eames Style Lounge Chair,herman miller eames lounge chair",https://www.houzz.com/products/aniline-leather-lounge-chair-and-ottoman-black-base-palisander-prvw-vr~161130099
chairs,2021-01-05 18:14:34.996047,https://st.hzcdn.com/fimgs/20518daf0bac0ce1_8224-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/2eb1d4660bac0ce3_2661-w65-h65-b1-p0--.jpg,"Akoya Velvet Dining Chair, Set of 2, Navy",1,14021,https://www.houzz.com/products/akoya-velvet-dining-chair-set-of-2-navy-prvw-vr~126495992
chairs,2021-01-05 18:14:35.383275,https://st.hzcdn.com/fimgs/1c610f4f0dd70537_5851-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/d5c117280dd7053b_2877-w65-h65-b1-p0--.jpg,"Xavier Velvet Dining Chair, Gray, Gold Legs",1,"black,chrome,chrome steel legs,comfortable,contemporary,contemporary design,dining chair,luxurious,meridian furniture,modern,nice,rich black velvet,sturdy,velvet,xavier,xavier black velvet dining chair",https://www.houzz.com/products/xavier-velvet-dining-chair-gray-gold-legs-prvw-vr~151816327
chairs,2021-01-05 18:14:35.411470,https://st.hzcdn.com/fimgs/504198490e910009_1656-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/42d13a110e910040_1656-w65-h65-b0-p0--.jpg,"Amy Swivel Accent Chair, Coastal Tan",1,"accent chairs,comfortable,comfy chair,furniture,living room chair,living room furniture,quality,seating,small chair,stylish,swivel chair,swivel glide,swivel glider recliner,swivels,turning chair,upholstered,upholstery",https://www.houzz.com/products/amy-swivel-accent-chair-coastal-tan-prvw-vr~157184367
